Code1,Level1,Code2,Level2,Code3,Level3,Code4,Level4,Code5,Level5,Code6,Level6,Code7,Level7
90,Biodiversity n.e.c.,10,Animals (not including livestock),40,Mammals,,Mammal diversity,,Diversity of mammals as crop pollinators,,,,
90,Biodiversity n.e.c.,10,Animals (not including livestock),40,Mammals,,Mammal diversity,,Diversity of mammals as natural enemies of crop pests,,,,
90,Biodiversity n.e.c.,10,Animals (not including livestock),50,Reptiles,,Reptile abundance,,Abundance of reptiles as natural enemies of crop pests,,,,
90,Biodiversity n.e.c.,10,Animals (not including livestock),50,Reptiles,,Reptile diversity,,Diversity of reptiles as natural enemies of crop pests,,,,
90,Biodiversity n.e.c.,10,Animals (not including livestock),NEC,Animals n.e.c.,,,,,,,,
90,Biodiversity n.e.c.,20,Plants (not including crops),10,Grasses,,Grass abundance,,,,,,
90,Biodiversity n.e.c.,20,Plants (not including crops),10,Grasses,,Grass diversity,,,,,,
90,Biodiversity n.e.c.,20,Plants (not including crops),20,Forbs,,Forb abundance,,,,,,
90,Biodiversity n.e.c.,20,Plants (not including crops),20,Forbs,,Forb diversity,,,,,,
90,Biodiversity n.e.c.,20,Plants (not including crops),30,Shrubs,,Shrub abundance,,,,,,
90,Biodiversity n.e.c.,20,Plants (not including crops),30,Shrubs,,Shrub diversity,,,,,,
90,Biodiversity n.e.c.,20,Plants (not including crops),40,Trees,,Tree abundance,,,,,,
90,Biodiversity n.e.c.,20,Plants (not including crops),40,Trees,,Tree diversity,,,,,,
90,Biodiversity n.e.c.,20,Plants (not including crops),NEC,Plants n.e.c.,,,,,,,,
90,Biodiversity n.e.c.,30,"Fungi (not including crops, mycorrhizae, etc.)",10,Mushrooms,,Mushroom abundance,,,,,,
90,Biodiversity n.e.c.,30,"Fungi (not including crops, mycorrhizae, etc.)",10,Mushrooms,,Mushroom diversity,,,,,,
90,Biodiversity n.e.c.,30,"Fungi (not including crops, mycorrhizae, etc.)",NEC,Fungi n.e.c.,,,,,,,,
